"","model","cutpoint","sens","sens.lcl","sens.ucl","spec","spec.lcl","spec.ucl","auc","auc.lcl","auc.ucl","FN","FP","TP","TN","mcc","Gene","Scenario"
"373","SiftScore",0,0.847826086956522,0.760634871024482,0.907134597298564,0.62280701754386,0.531202185855044,0.706405191719978,0.760059115179253,0.704779627534548,0.815338602823957,14,43,78,71,0.47525496611923,"BRCA2",2
"125","MetalrRankscore",0.90291,0.76271186440678,0.640251092935972,0.853053814075376,0.76271186440678,0.694877010328928,0.819385596301614,0.861438284018002,0.813062188354976,0.909814379681029,14,42,45,135,0.471595400431279,"BRCA1",1
"135","MetalrScore",0.7169,0.76271186440678,0.640251092935972,0.853053814075376,0.76271186440678,0.694877010328928,0.819385596301614,0.861438284018002,0.813062188354976,0.909814379681029,14,42,45,135,0.471595400431279,"BRCA1",1
"321","Siphy29wayLogoddsRankscore",0.48478,0.7375,0.631810403355718,0.821425985114906,0.75,0.676595376238703,0.811388158042589,0.800440705128205,0.744358789935965,0.856522620320445,21,39,59,117,0.468305579029855,"BRCA1",2
"165","MutationassessorRankscore",0.54432,0.76271186440678,0.640251092935972,0.853053814075376,0.757062146892655,0.688858860582836,0.814344335152426,0.826390883845638,0.76580105199959,0.886980715691686,14,43,45,134,0.465430678646903,"BRCA1",1
"17","MutationassessorScore",1.7,0.76271186440678,0.640251092935972,0.853053814075376,0.757062146892655,0.688858860582836,0.814344335152426,0.826390883845638,0.76580105199959,0.886980715691686,14,43,45,134,0.465430678646903,"BRCA1",1
"182","MutationassessorRankscore",0.84368,0.732394366197183,0.619460113421453,0.821471965134922,0.748148148148148,0.668753760459893,0.813811033724002,0.850912884715702,0.793348457555132,0.908477311876271,19,34,52,101,0.463114124125569,"BRCA2",1
"192","MutationassessorScore",2.695,0.732394366197183,0.619460113421453,0.821471965134922,0.748148148148148,0.668753760459893,0.813811033724002,0.850912884715702,0.793348457555132,0.908477311876271,19,34,52,101,0.463114124125569,"BRCA2",1
"23","Phastcons7wayVertebrateRankscore",0.54028,0.76271186440678,0.640251092935972,0.853053814075376,0.751412429378531,0.682854980869421,0.80928880397056,0.812601742794216,0.757597001145832,0.867606484442601,14,44,45,133,0.459332414669423,"BRCA1",1
"161","MutationassessorRankscore",0.44691,0.7375,0.631810403355718,0.821425985114906,0.737179487179487,0.663004752648675,0.799953985002808,0.826963141025641,0.769840197888514,0.884086084162768,21,41,59,115,0.454713976199137,"BRCA1",2
"171","MutationassessorScore",1.39,0.7375,0.631810403355718,0.821425985114906,0.737179487179487,0.663004752648675,0.799953985002808,0.826963141025641,0.769840197888514,0.884086084162768,21,41,59,115,0.454713976199137,"BRCA1",2
"51","CAROL_score",1,0.6,0.490454650051604,0.700381724041291,0.83974358974359,0.77412524778901,0.889031862900951,0.801041666666667,0.747403701974808,0.854679631358525,32,25,48,131,0.450351462837722,"BRCA1",2
"231","Phastcons7wayVertebrateRankscore",0.46971,0.7375,0.631810403355718,0.821425985114906,0.730769230769231,0.656236711583926,0.794209627752652,0.82832532051282,0.777658626091794,0.878992014933847,21,42,59,114,0.447997245183082,"BRCA1",2
"55","CAROL_score",1,0.661016949152542,0.533724705669284,0.768623463144123,0.807909604519774,0.743581553444609,0.859156340348177,0.812122953174375,0.761761655722049,0.862484250626702,20,34,39,143,0.439301041355457,"BRCA1",1
"62","Condel_score",0.859,0.746031746031746,0.626588125633935,0.837195887266788,0.710526315789474,0.621493387620168,0.785833545365583,0.802283486494013,0.735964875818157,0.868602097169869,16,33,47,81,0.439225813267137,"BRCA2",1
"282","Polyphen2HdivRankscore",0.89865,0.971830985915493,0.902984998833505,0.992240736417316,0.444444444444444,0.363313809524509,0.528649296255215,0.707407407407407,0.660668879444586,0.754145935370229,2,75,69,60,0.431320148719919,"BRCA2",1
"292","Polyphen2HdivScore",1,0.971830985915493,0.902984998833505,0.992240736417316,0.444444444444444,0.363313809524509,0.528649296255215,0.707407407407407,0.660668879444586,0.754145935370229,2,75,69,60,0.431320148719919,"BRCA2",1
"71","DannRankscore",0.67191,0.725,0.618559413589855,0.810822428119158,0.724358974358974,0.649486310527326,0.788447630494347,0.786939102564103,0.729533658460367,0.844344546667839,22,43,58,113,0.429905638430309,"BRCA1",2
"81","DannScore",0.994910159,0.725,0.618559413589855,0.810822428119158,0.724358974358974,0.649486310527326,0.788447630494347,0.786778846153846,0.729356443712834,0.844201248594858,22,43,58,113,0.429905638430309,"BRCA1",2
